Heart_Rate_Variability,Body_Temperature,Movement_During_Sleep,Sleep_Duration_Hours,Sleep_Quality_Score,Caffeine_Intake_mg,Stress_Level,Bedtime_Consistency,Light_Exposure_hours,Sleep_Quality_Group,Caffeine_Stress_Interaction,High_Caffeine,Stress_Level^2,Caffeine_Intake_mg^2
79.93428306022466,37.199677718293,1.3248217250256185,4.638288663183913,1.0,107.62403179772969,2.771837283533825,0.6570370164620752,7.933949472560879,Low,298.31630394117707,0,7.683081926388174,11582.93222039873
67.2347139765763,36.962316841456385,1.855481329284482,6.209422483830747,1.0,104.6585891616146,3.73813833252442,0.1444638075259597,6.992699479248808,Low,391.2282839729564,0,13.973678193088453,10953.420285299633
82.95377076201385,36.529815184960086,1.2075800790000386,6.879591699867533,10.0,0.0,3.1158796328515104,0.642949129977789,7.655250085092676,High,0.0,0,9.708705886418864,0.0
100.46059712816052,36.17653161114721,1.6920384703609597,10.331531486010284,1.0,116.99098082985628,3.904008362517725,0.4532551884296549,9.4294634550354,Low,456.7337674989098,0,15.241281294608328,13686.8895955318
65.31693250553329,36.8491116568068,0.1063853330462143,8.334829686800637,1.0,223.28290818217448,4.571699378577622,0.6414915421728762,10.555713310061028,Low,1020.7823325834514,1,20.900435208087018,49855.25708628936
65.3172608610164,36.69674269271088,2.213293707372938,5.4967776463501625,7.1221526672184945,22.576788092320484,6.674308972662769,0.6553863384709657,9.140974661727148,High,150.68445933848056,0,44.54640026256675,509.711360565544
101.58425631014782,36.94759661001387,2.0012054753622244,8.229054434126455,1.0,254.84826510505923,4.357681922588595,0.8215830122238315,8.203446416943539,Low,1110.5476778513826,1,18.989391738455435,64947.638227058545
85.34869458305818,36.81758590084098,1.1829113689318094,5.179044016592451,1.0,198.77748210843384,1.8287485864608144,0.7706907295242407,10.996023540608856,Low,363.5140394260382,1,3.344321392482427,39512.487393368734
60.61051228130096,37.02477635765967,2.659245668432405,9.12403658083061,2.4092370548842656,76.57666780289621,7.280135692990321,0.7693143325220593,7.374327053896955,Low,557.4885325221273,0,53.000375708351655,5863.986051795121
80.8512008717193,36.23238239421972,2.937570137626558,6.793313022273182,1.0,135.84703626621527,3.325819732769921,0.7887340638332476,10.061838676733814,Low,451.8027538524898,0,11.061076894881788,18454.417262314408
60.73164614375075,37.158697032817166,0.3924401356310258,7.359545716891244,1.0,309.8321807641033,4.882559145790743,0.5582757969631892,7.423874403297443,Low,1512.7739478500632,1,23.839383812144828,95995.98023704
60.68540492859486,36.5987998023462,1.237275221433786,9.488694971313285,1.0,223.35478135058656,5.893073013881423,0.5064370174073679,8.862045916021787,Low,1316.2460344985275,1,34.72830954693748,49887.35835216833
74.83924543132068,37.53763043631263,1.2308576502127018,5.569254647123625,1.0,150.87836548981477,5.399220836805566,0.6745634166356669,7.772874870419097,Low,814.6256147757737,1,29.151585644595396,22764.281172878127
31.73439510684404,36.15540609095522,1.0600968988911357,5.404322722330513,1.0,126.23166830390156,7.1883590950429515,0.6464161902866045,7.888295634694378,Low,907.3985609347958,0,51.67250647928672,15934.434082786225
35.501643349739346,37.367981901582624,2.8294748419317486,6.624601010480992,1.0,157.66090704516597,5.958006286785518,0.4381867526523479,7.24522696507558,Low,939.344675355406,1,35.49783891337576,24856.961610304465
58.754249415180546,36.59895539173132,1.8061738612271965,9.057568276528976,1.4858606227661448,98.82364420576964,3.277380840605784,0.5809646817616536,10.689708062361388,Low,323.8827181188322,0,10.741225174369875,9766.112654108547
49.74337759331152,36.174290998192774,1.7354851586893894,5.220980886784736,9.08063646377252,0.0,9.357124347983325,0.4929807066430811,6.53414792378293,High,0.0,0,87.55577606362236,0.0
76.28494665190547,36.25805708297284,-0.0038623644067534,3.251766602834147,1.0,354.2177910534731,5.388666926676467,0.3292134183079888,6.519535494902583,Low,1908.7616954902458,1,29.037731246656797,125470.24349880192
